time/total_timesteps,train/learning_rate,time/episodes,train/loss,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean
800,0.0001,4,0.2691075801849365,1373,0,0.3898506925535488,-195.0,199,200.0
1600,0.0001,8,0.21676494181156158,1358,1,0.3495025176370633,-196.25,399,200.0
2400,0.0001,12,0.004786481615155935,1345,1,0.3333333333333333,-197.33333333333334,599,200.0
3200,0.0001,16,0.001970924437046051,1337,2,0.3184008490132217,-197.5,799,200.0
4000,0.0001,20,0.000786453892942518,1331,3,0.3090169943749474,-197.8,999,200.0
4800,0.0001,24,0.0008214366971515119,1325,3,0.30115077658142336,-198.0,1199,200.0
5600,0.0001,28,0.0005383781972341239,1320,4,0.29439630815026163,-198.14285714285714,1399,200.0
6400,0.0001,32,0.00036109640495851636,1316,4,0.28848991189710904,-198.3125,1599,200.0
7200,0.0001,36,0.0005600054864771664,1312,5,0.2832508502825748,-198.38888888888889,1799,200.0
8000,0.0001,40,0.000167198566487059,1309,6,0.27854997524854586,-198.45,1999,200.0
8800,0.0001,44,0.00015640913625247777,1303,6,0.27429188517743175,-198.54545454545453,2199,200.0
9600,0.0001,48,0.00023112844792194664,1301,7,0.2694832327752036,-198.41666666666666,2399,200.0
10400,0.0001,52,0.0013239127583801746,1204,8,0.26598086012233507,-198.30769230769232,2599,200.0
11200,0.0001,56,0.0010475999442860484,1204,9,0.26196435430533577,-198.35714285714286,2799,200.0
12000,0.0001,60,0.0007472164579667151,1206,9,0.2589998865276786,-198.36666666666667,2999,200.0
12800,0.0001,64,0.0008074313518591225,1208,10,0.25556161947733497,-198.34375,3199,200.0
13600,0.0001,68,0.0451820008456707,1210,11,0.25238143094871185,-198.26470588235293,3399,200.0
14400,0.0001,72,0.0005696156295016408,1211,11,0.24942528060168445,-198.16666666666666,3599,200.0
15200,0.0001,76,0.0004454511508811265,1213,12,0.2456110137319703,-197.71052631578948,3799,200.0
16000,0.0001,80,0.00015010268543846905,1214,13,0.2435802714950988,-197.825,3999,200.0
16800,0.0001,84,0.0001381513284286484,1215,13,0.2407119984269966,-197.61904761904762,4199,200.0
17600,0.0001,88,0.00013179818051867187,1214,14,0.23846788006572436,-197.5681818181818,4399,200.0
18400,0.0001,92,7.973386527737603e-05,1214,15,0.23593075093908972,-197.5,4599,200.0
19200,0.0001,96,0.00011074914073105901,1210,15,0.2335456555712129,-197.375,4799,200.0
20000,0.0001,100,6.159558688523248e-05,1172,17,0.23057445040483818,-197.24,4999,200.0
20800,0.0001,104,0.0013753320090472698,1173,17,0.22848534180267382,-197.38,5199,200.0
21600,0.0001,108,0.0012032578233629465,1165,18,0.22715253471356267,-197.48,5399,200.0
22400,0.0001,112,0.04417543113231659,1167,19,0.22586419220067006,-197.48,5599,200.0
23200,0.0001,116,0.0002492161584086716,1168,19,0.2240092377397959,-197.44,5799,200.0
24000,0.0001,120,0.00015098902804311365,1169,20,0.22252940443572466,-197.26,5999,200.0
24800,0.0001,124,0.00014244970225263387,1170,21,0.2202755283714951,-197.04,6199,200.0
25600,0.0001,128,0.04446522146463394,1170,21,0.2186693681067887,-196.92,6399,200.0
26400,0.0001,132,0.0001167072550742887,1171,22,0.2176356100488892,-196.82,6599,200.0
27200,0.0001,136,7.584997365484014e-05,1171,23,0.21638245328588263,-196.74,6799,200.0
28000,0.0001,140,6.162148201838136e-05,1171,23,0.21517021739076855,-196.66,6999,200.0
28800,0.0001,144,8.045240974752232e-05,1171,24,0.21353727178629678,-196.48,7199,200.0
29600,0.0001,148,7.778883446007967e-05,1171,25,0.2121931471192781,-196.34,7399,200.0
30400,0.0001,152,0.0018989722011610866,1149,26,0.21068507009769513,-196.2,7599,200.0
31200,0.0001,156,0.0012172303395345807,1150,27,0.2096449441950114,-196.22,7799,200.0
32000,0.0001,160,0.0004866671224590391,1150,27,0.20883384906722502,-196.28,7999,200.0
32800,0.0001,164,0.04428694769740105,1150,28,0.20784498958916559,-196.14,8199,200.0
33600,0.0001,168,0.0002809180587064475,1151,29,0.2065048112111046,-196.06,8399,200.0
34400,0.0001,172,0.0001720727887004614,1149,29,0.20557740216313375,-196.02,8599,200.0
35200,0.0001,176,0.00012824643636122346,1149,30,0.20467354694396375,-196.28,8799,200.0
36000,0.0001,180,0.00012375561345834285,1146,31,0.20379215885397564,-196.12,8999,200.0
36800,0.0001,184,0.00010794986155815423,1146,32,0.20276272558441458,-195.98,9199,200.0
37600,0.0001,188,7.407923112623394e-05,1145,32,0.20192728519048872,-196.0,9399,200.0
38400,0.0001,192,5.851921741850674e-05,1145,33,0.20063067837517806,-195.78,9599,200.0
39200,0.0001,196,0.00011898916272912174,1144,34,0.1996888960595397,-195.6,9799,200.0
40000,0.0001,200,0.00010458305041538551,1128,35,0.19847164946533546,-195.48,9999,200.0
